gene_names,state,pvalue,effect
COX5A,2,0.280901158116283,-0.583839142291053
TBCCD1,2,0.893637569751763,-0.120923545969118
ADHFE1,2,0.566039009752751,-0.600872732318049
SPCS1,2,0.961979347993092,0.14911862912357
PCSK1,2,0.979825267731629,-0.0356111519479157
TCF7L1,2,0.728135949415182,-0.589673361929607
PRR13,2,0.87612947035995,-0.203163007149303
IL1RL2,2,1,-3.46944695195361e-17
STMN1,2,0.768632171975827,-0.400342312717388
AP000304.12,2,0.999743826408139,0.0446848709543042
TAC4,2,0.993472333416414,-0.0281423308026021
LAMTOR2,2,0.95771653944485,-0.0789549655926049
PARK7,2,0.974913384455931,-0.132625556433173
ATP6V1D,2,0.065786662003846,-1.09042440787097
C1orf54,2,0.473146991792358,0.609248574382103
FKBP1B,2,0.351214434167516,0.151226309921962
HINT1,2,0.615831170241227,-0.43450535412372
RPL36AL,2,0.579743743815832,-0.457423629213155
EEF1B2,2,0.999989936355711,0.00606222728773059
ARL4D,2,0.69289069424478,0.0757850959841694
ANKUB1,2,0.915217526729289,-0.232364433861008
BLVRA,2,0.389290471830364,-0.347409680773562
TCEAL6,2,1,2.07472927726826e-14
PCED1B,2,0.024582997353337,1.32924128485144
TUBB4B,2,0.997255526131452,-0.0718992165688545
UST,2,0.990978911391249,0.209828020073716
PSMB6,2,0.999072417107493,-0.0254409649481787
ATP5G3,2,0.774853660685619,-0.361741537326883
DCTN3,2,0.978493638722095,0.0870044343249509
MRPL57,2,0.982862397176472,-0.0870275429380612
PSMA7,2,0.983896295140831,0.1561066031897
VDAC3,2,0.920702817271902,0.301655304893396
AP4M1,2,0.998156434061191,-0.0548644448826003
MRTO4,2,0.63389024748707,-0.256095047573547
NIF3L1,2,0.591292199744323,-0.179219671099485
DSCC1,2,0.979681149755587,0.0459869480464421
TIMM8B,2,0.979349547003147,-0.0977561344699858
SNU13,2,0.667929934498605,-0.41011977548698
SAP18,2,0.981076230313798,-0.104276584437509
NAP1L5,2,0.311061404636616,0.387447897657979
RPP25L,2,0.830889726159782,0.196808140645203
PHB,2,0.991769630095244,-0.0807459801060266
ENDOV,2,0.932414352086285,0.185874552340792
LRRC39,2,0.566674055799772,-0.339695994781758
PRKAG1,2,0.21729556186501,0.887111962697602
SRP14,2,0.963927483877399,0.323195962737029
CHCHD2,2,0.883691240862076,0.329118448509857
GOLT1B,2,0.989444195486693,0.0786611480826328
BOLA3,2,0.350836953570094,-0.382116836203254
ISCU,2,0.979928283697971,-0.145479836448637
GYG2,2,0.531408187788853,0.641252222667687
RPRML,2,0.302578664832081,0.114520894892367
HMBS,2,0.998440666453264,-0.024769112010197
ATP6AP2,2,0.99088481158635,0.148839107376448
PPIH,2,0.975584727885247,-0.0655161263114982
GABARAPL2,2,0.664852114439281,0.459495856073321
ATF6B,2,0.920363689835921,0.355565187739393
CCDC24,2,0.999989548178245,0.0117943349045013
CCZ1B,2,0.997602831057931,-0.0592524558192868
TCEAL2,2,0.930434415468392,-0.23698993954912
NTMT1,2,0.643732873186023,0.220003211490247
RANBP1,2,0.0251389807629713,-0.607488015872915
C14orf2,2,0.850944333672841,-0.338111778696016
C19orf53,2,0.999151230124646,-0.0384185169970099
CSTB,2,0.00267192477017664,2.24217503209718
SCRN2,2,0.961386006590883,-0.159303141652758
POLR3K,2,0.351648118658888,0.234962850396603
LAMTOR5,2,0.969138732453587,-0.149243448219394
DYNLT1,2,0.759407434325488,-0.278301534573924
ATP5G1,2,0.735472834642378,0.336412388937086
